name,line
ECO, We welcome collaborations with like-minded businesses. Please contact us at partnerships@ecothreads.com to discuss potential opportunities.
User, How do I know if my recycled items are accepted?
ECO," Check our 'Accepted Items' list in the app or website. If you're still unsure, you can contact our customer service for clarification."
User, Could I request a live call?
ECO, Sure! Click here for the Zoom link and you'll be connected to a live operator who will assist you with your issues: <link>
User, Is there a way to track my recycling impact?
ECO," Yes, you can track your recycling impact in our app. It shows the amount of waste you've diverted from landfills and the equivalent CO2 emissions saved."
User, Can I schedule a pickup for large quantities of clothes for recycling?
ECO, Absolutely! Please ensure that you choose the Self-Pickup option in the Checkout page
User, Are there any special discounts for students?
ECO," Yes, students get a 15% discount. Just verify your student status in the app to receive your discount code."
User, How do I repair a small tear in my EcoThreads garment?
ECO," For minor repairs, we recommend using a simple sewing kit. If it's a larger issue, you can contact us for advice or consider using local repair services."
User, Can I organize a recycling drive in my community with EcoThreads?
ECO," We love this initiative! Please reach out to us through this link, and our team will get in touch to discuss how we can support your recycling drive: <link>"
User, What's the best way to wash my EcoThreads denim?
ECO," To maintain the quality of your EcoThreads denim, wash in cold water, inside out, and with similar colors. Air drying is recommended to conserve energy and prolong the life of the fabric."
User, Can I get a custom fit for a particular item?
ECO," Currently, we don't offer custom fittings, but our size guide is comprehensive, and we're exploring custom fit options for the future. Stay tuned!"
User, Do you have any loyalty programs for regular customers?
ECO," Yes, our loyalty program rewards you with points for purchases, recycling, and engagement. These points can be redeemed for discounts and special offers."
User, I'm having trouble with the app. Can I speak to someone for help?
ECO," Certainly! If you're experiencing technical difficulties, please use this link to schedule a live call with our technical support team: <link>"
